wavelength_nm,normalized_intensity
400,0.003032
405,0.008666
410,0.024492
415,0.062213
420,0.140408
425,0.298640
430,0.549298
435,0.872763
440,0.986876
445,0.697384
450,0.386146
455,0.232551
460,0.151001
465,0.091206
470,0.066679
475,0.053008
480,0.050474
485,0.058299
490,0.075779
495,0.101158
500,0.127206
505,0.155236
510,0.181940
515,0.199191
520,0.220783
525,0.227668
530,0.234793
535,0.234649
540,0.242155
545,0.246726
550,0.247642
555,0.246516
560,0.238101
565,0.231328
570,0.214556
575,0.208011
580,0.198398
585,0.193052
590,0.182591
595,0.174168
600,0.166571
605,0.154868
610,0.144327
615,0.133320
620,0.121844
625,0.111317
630,0.101350
635,0.093455
640,0.082332
645,0.074041
650,0.067676
655,0.062273
660,0.056589
665,0.050776
670,0.045342
675,0.040381
680,0.035671
685,0.031842
690,0.028190
695,0.024778
700,0.021532
